number_rounds; #Wolves; #Preys; Wolf_Type; Homogeneous?; #Wolves_to_catch_preys; Visibility; Min_Preys_Captured
11;3;10;2follower_3formation;FALSE;2;5.0;1
57;;;;;;;
27;;;;;;;
113;;;;;;;
126;;;;;;;
17;;;;;;;
344;;;;;;;
27;;;;;;;
281;;;;;;;
67;;;;;;;
5;;;;;;;
29;;;;;;;
113;;;;;;;
803;;;;;;;
27;;;;;;;
64;;;;;;;
505;;;;;;;
236;;;;;;;
107;;;;;;;
13;;;;;;;
12;;;;;;;
93;;;;;;;
33;;;;;;;
239;;;;;;;
61;;;;;;;
16;;;;;;;
23;;;;;;;
25;;;;;;;
33;;;;;;;
13;;;;;;;
20;;;;;;;
97;;;;;;;
8;;;;;;;
141;;;;;;;
71;;;;;;;
250;;;;;;;
140;;;;;;;
110;;;;;;;
15;;;;;;;
22;;;;;;;
45;;;;;;;
197;;;;;;;
20;;;;;;;
94;;;;;;;
42;;;;;;;
187;;;;;;;
17;;;;;;;
19;;;;;;;
122;;;;;;;
768;;;;;;;
67;;;;;;;
20;;;;;;;
4;;;;;;;
111;;;;;;;
258;;;;;;;
161;;;;;;;
31;;;;;;;
10;;;;;;;
101;;;;;;;
181;;;;;;;
161;;;;;;;
43;;;;;;;
25;;;;;;;
17;;;;;;;
16;;;;;;;
13;;;;;;;
22;;;;;;;
15;;;;;;;
14;;;;;;;
26;;;;;;;
24;;;;;;;
1188;;;;;;;
32;;;;;;;
108;;;;;;;
97;;;;;;;
28;;;;;;;
99;;;;;;;
714;;;;;;;
20;;;;;;;
298;;;;;;;
56;;;;;;;
47;;;;;;;
233;;;;;;;
41;;;;;;;
26;;;;;;;
4;;;;;;;
22;;;;;;;
10;;;;;;;
19;;;;;;;
163;;;;;;;
53;;;;;;;
16;;;;;;;
22;;;;;;;
9;;;;;;;
10;;;;;;;
67;;;;;;;
303;;;;;;;
29;;;;;;;
506;;;;;;;
39;;;;;;;
1;;;;;;;
49;;;;;;;
17;;;;;;;
55;;;;;;;
38;;;;;;;
29;;;;;;;
138;;;;;;;
33;;;;;;;
45;;;;;;;
1041;;;;;;;
54;;;;;;;
23;;;;;;;
26;;;;;;;
51;;;;;;;
15;;;;;;;
297;;;;;;;
264;;;;;;;
783;;;;;;;
29;;;;;;;
87;;;;;;;
875;;;;;;;
821;;;;;;;
35;;;;;;;
35;;;;;;;
1406;;;;;;;
11;;;;;;;
73;;;;;;;
40;;;;;;;
67;;;;;;;
239;;;;;;;
39;;;;;;;
21;;;;;;;
25;;;;;;;
141;;;;;;;
34;;;;;;;
173;;;;;;;
71;;;;;;;
78;;;;;;;
23;;;;;;;
26;;;;;;;
50;;;;;;;
29;;;;;;;
47;;;;;;;
17;;;;;;;
43;;;;;;;
13;;;;;;;
75;;;;;;;
53;;;;;;;
128;;;;;;;
2254;;;;;;;
135;;;;;;;
460;;;;;;;
87;;;;;;;
132;;;;;;;
17;;;;;;;
44;;;;;;;
55;;;;;;;
21;;;;;;;
170;;;;;;;
10;;;;;;;
57;;;;;;;
34;;;;;;;
69;;;;;;;
26;;;;;;;
37;;;;;;;
237;;;;;;;
20;;;;;;;
18;;;;;;;
37;;;;;;;
89;;;;;;;
121;;;;;;;
41;;;;;;;
36;;;;;;;
55;;;;;;;
19;;;;;;;
121;;;;;;;
136;;;;;;;
26;;;;;;;
684;;;;;;;
12;;;;;;;
196;;;;;;;
66;;;;;;;
25;;;;;;;
21;;;;;;;
491;;;;;;;
30;;;;;;;
6;;;;;;;
34;;;;;;;
14;;;;;;;
80;;;;;;;
46;;;;;;;
24;;;;;;;
139;;;;;;;
32;;;;;;;
21;;;;;;;
35;;;;;;;
6;;;;;;;
33;;;;;;;
149;;;;;;;
1262;;;;;;;
117;;;;;;;
48;;;;;;;
22;;;;;;;
429;;;;;;;
39;;;;;;;
91;;;;;;;
13;;;;;;;
31;;;;;;;
19;;;;;;;
132;;;;;;;
98;;;;;;;
15;;;;;;;
104;;;;;;;
23;;;;;;;
20;;;;;;;
172;;;;;;;
186;;;;;;;
21;;;;;;;
13;;;;;;;
609;;;;;;;
146;;;;;;;
27;;;;;;;
18;;;;;;;
47;;;;;;;
2;;;;;;;
16;;;;;;;
368;;;;;;;
55;;;;;;;
20;;;;;;;
18;;;;;;;
42;;;;;;;
392;;;;;;;
32;;;;;;;
186;;;;;;;
98;;;;;;;
55;;;;;;;
15;;;;;;;
40;;;;;;;
29;;;;;;;
85;;;;;;;
761;;;;;;;
79;;;;;;;
20;;;;;;;
147;;;;;;;
54;;;;;;;
24;;;;;;;
14;;;;;;;
27;;;;;;;
85;;;;;;;
22;;;;;;;
11;;;;;;;
9;;;;;;;
196;;;;;;;
49;;;;;;;
124;;;;;;;
15;;;;;;;
27;;;;;;;
215;;;;;;;
181;;;;;;;
33;;;;;;;
68;;;;;;;
27;;;;;;;
40;;;;;;;
10;;;;;;;
9;;;;;;;
205;;;;;;;
428;;;;;;;
60;;;;;;;
105;;;;;;;
29;;;;;;;
26;;;;;;;
59;;;;;;;
15;;;;;;;
322;;;;;;;
26;;;;;;;
414;;;;;;;
43;;;;;;;
172;;;;;;;
102;;;;;;;
36;;;;;;;
295;;;;;;;
14;;;;;;;
295;;;;;;;
64;;;;;;;
92;;;;;;;
32;;;;;;;
39;;;;;;;
12;;;;;;;
23;;;;;;;
99;;;;;;;
70;;;;;;;
82;;;;;;;
32;;;;;;;
36;;;;;;;
150;;;;;;;
22;;;;;;;
22;;;;;;;
79;;;;;;;
82;;;;;;;
27;;;;;;;
26;;;;;;;
4;;;;;;;
161;;;;;;;
66;;;;;;;
33;;;;;;;
20;;;;;;;
9;;;;;;;
29;;;;;;;
28;;;;;;;
31;;;;;;;
32;;;;;;;
67;;;;;;;
15;;;;;;;
126;;;;;;;
23;;;;;;;
11;;;;;;;
122;;;;;;;
223;;;;;;;
65;;;;;;;
22;;;;;;;
42;;;;;;;
87;;;;;;;
23;;;;;;;
58;;;;;;;
76;;;;;;;
50;;;;;;;
10;;;;;;;
69;;;;;;;
53;;;;;;;
549;;;;;;;
180;;;;;;;
35;;;;;;;
18;;;;;;;
13;;;;;;;
51;;;;;;;
6;;;;;;;
218;;;;;;;
11;;;;;;;
113;;;;;;;
397;;;;;;;
2;;;;;;;
65;;;;;;;
31;;;;;;;
157;;;;;;;
19;;;;;;;
225;;;;;;;
594;;;;;;;
5;;;;;;;
33;;;;;;;
239;;;;;;;
1606;;;;;;;
65;;;;;;;
19;;;;;;;
517;;;;;;;
24;;;;;;;
41;;;;;;;
29;;;;;;;
25;;;;;;;
76;;;;;;;
53;;;;;;;
77;;;;;;;
65;;;;;;;
181;;;;;;;
5;;;;;;;
125;;;;;;;
148;;;;;;;
55;;;;;;;
47;;;;;;;
157;;;;;;;
48;;;;;;;
52;;;;;;;
89;;;;;;;
26;;;;;;;
13;;;;;;;
113;;;;;;;
52;;;;;;;
35;;;;;;;
40;;;;;;;
70;;;;;;;
253;;;;;;;
57;;;;;;;
39;;;;;;;
19;;;;;;;
35;;;;;;;
29;;;;;;;
63;;;;;;;
17;;;;;;;
68;;;;;;;
20;;;;;;;
143;;;;;;;
150;;;;;;;
137;;;;;;;
83;;;;;;;
120;;;;;;;
71;;;;;;;
145;;;;;;;
11;;;;;;;
28;;;;;;;
89;;;;;;;
13;;;;;;;
122;;;;;;;
16;;;;;;;
111;;;;;;;
69;;;;;;;
120;;;;;;;
135;;;;;;;
116;;;;;;;
12;;;;;;;
29;;;;;;;
78;;;;;;;
14;;;;;;;
41;;;;;;;
44;;;;;;;
156;;;;;;;
81;;;;;;;
13;;;;;;;
86;;;;;;;
34;;;;;;;
230;;;;;;;
3;;;;;;;
258;;;;;;;
129;;;;;;;
9;;;;;;;
69;;;;;;;
295;;;;;;;
36;;;;;;;
32;;;;;;;
53;;;;;;;
41;;;;;;;
27;;;;;;;
208;;;;;;;
137;;;;;;;
22;;;;;;;
21;;;;;;;
29;;;;;;;
220;;;;;;;
145;;;;;;;
98;;;;;;;
460;;;;;;;
36;;;;;;;
99;;;;;;;
16;;;;;;;
72;;;;;;;
69;;;;;;;
39;;;;;;;
24;;;;;;;
32;;;;;;;
122;;;;;;;
8;;;;;;;
1;;;;;;;
38;;;;;;;
11;;;;;;;
43;;;;;;;
13;;;;;;;
24;;;;;;;
18;;;;;;;
39;;;;;;;
137;;;;;;;
91;;;;;;;
35;;;;;;;
16;;;;;;;
81;;;;;;;
107;;;;;;;
27;;;;;;;
156;;;;;;;
10;;;;;;;
16;;;;;;;
43;;;;;;;
48;;;;;;;
71;;;;;;;
587;;;;;;;
20;;;;;;;
31;;;;;;;
308;;;;;;;
7;;;;;;;
60;;;;;;;
39;;;;;;;
13;;;;;;;
28;;;;;;;
14;;;;;;;
27;;;;;;;
18;;;;;;;
23;;;;;;;
263;;;;;;;
266;;;;;;;
14;;;;;;;
26;;;;;;;
25;;;;;;;
6;;;;;;;
134;;;;;;;
78;;;;;;;
1;;;;;;;
72;;;;;;;
66;;;;;;;
8;;;;;;;
59;;;;;;;
17;;;;;;;
20;;;;;;;
88;;;;;;;
22;;;;;;;
167;;;;;;;
70;;;;;;;
161;;;;;;;
110;;;;;;;
15;;;;;;;
18;;;;;;;
22;;;;;;;
146;;;;;;;
54;;;;;;;
192;;;;;;;
77;;;;;;;
7;;;;;;;
40;;;;;;;
228;;;;;;;
96;;;;;;;
36;;;;;;;
11;;;;;;;
89;;;;;;;
32;;;;;;;
866;;;;;;;
30;;;;;;;
31;;;;;;;
62;;;;;;;
38;;;;;;;
33;;;;;;;
54;;;;;;;
165;;;;;;;
31;;;;;;;
49;;;;;;;
95;;;;;;;
191;;;;;;;
42;;;;;;;
189;;;;;;;
60;;;;;;;
31;;;;;;;
25;;;;;;;
32;;;;;;;
11;;;;;;;
12;;;;;;;
81;;;;;;;
101;;;;;;;
448;;;;;;;
9;;;;;;;
27;;;;;;;
49;;;;;;;
83;;;;;;;
163;;;;;;;
41;;;;;;;
68;;;;;;;
407;;;;;;;
17;;;;;;;
176;;;;;;;
156;;;;;;;
11;;;;;;;
50;;;;;;;
430;;;;;;;
28;;;;;;;
219;;;;;;;
22;;;;;;;
25;;;;;;;
67;;;;;;;
9;;;;;;;
111;;;;;;;
77;;;;;;;
19;;;;;;;
33;;;;;;;
48;;;;;;;
16;;;;;;;
37;;;;;;;
10;;;;;;;
101;;;;;;;
12;;;;;;;
41;;;;;;;
28;;;;;;;
157;;;;;;;
53;;;;;;;
29;;;;;;;
29;;;;;;;
129;;;;;;;
117;;;;;;;
45;;;;;;;
13;;;;;;;
143;;;;;;;
524;;;;;;;
52;;;;;;;
36;;;;;;;
91;;;;;;;
23;;;;;;;
9;;;;;;;
88;;;;;;;
18;;;;;;;
197;;;;;;;
141;;;;;;;
435;;;;;;;
166;;;;;;;
62;;;;;;;
49;;;;;;;
91;;;;;;;
183;;;;;;;
516;;;;;;;
22;;;;;;;
26;;;;;;;
179;;;;;;;
286;;;;;;;
99;;;;;;;
1204;;;;;;;
144;;;;;;;
113;;;;;;;
9;;;;;;;
40;;;;;;;
54;;;;;;;
20;;;;;;;
15;;;;;;;
23;;;;;;;
126;;;;;;;
645;;;;;;;
162;;;;;;;
19;;;;;;;
132;;;;;;;
53;;;;;;;
96;;;;;;;
6;;;;;;;
119;;;;;;;
95;;;;;;;
37;;;;;;;
230;;;;;;;
13;;;;;;;
20;;;;;;;
135;;;;;;;
32;;;;;;;
103;;;;;;;
44;;;;;;;
127;;;;;;;
113;;;;;;;
49;;;;;;;
50;;;;;;;
135;;;;;;;
96;;;;;;;
15;;;;;;;
486;;;;;;;
17;;;;;;;
36;;;;;;;
19;;;;;;;
72;;;;;;;
159;;;;;;;
7;;;;;;;
210;;;;;;;
60;;;;;;;
45;;;;;;;
127;;;;;;;
9;;;;;;;
452;;;;;;;
21;;;;;;;
116;;;;;;;
37;;;;;;;
41;;;;;;;
11;;;;;;;
299;;;;;;;
9;;;;;;;
62;;;;;;;
40;;;;;;;
139;;;;;;;
49;;;;;;;
105;;;;;;;
17;;;;;;;
37;;;;;;;
19;;;;;;;
39;;;;;;;
541;;;;;;;
30;;;;;;;
91;;;;;;;
5;;;;;;;
19;;;;;;;
284;;;;;;;
146;;;;;;;
77;;;;;;;
279;;;;;;;
196;;;;;;;
66;;;;;;;
13;;;;;;;
187;;;;;;;
16;;;;;;;
58;;;;;;;
543;;;;;;;
35;;;;;;;
44;;;;;;;
99;;;;;;;
16;;;;;;;
38;;;;;;;
190;;;;;;;
16;;;;;;;
1;;;;;;;
51;;;;;;;
26;;;;;;;
10;;;;;;;
27;;;;;;;
39;;;;;;;
8;;;;;;;
30;;;;;;;
762;;;;;;;
41;;;;;;;
25;;;;;;;
27;;;;;;;
33;;;;;;;
30;;;;;;;
32;;;;;;;
686;;;;;;;
20;;;;;;;
30;;;;;;;
17;;;;;;;
17;;;;;;;
106;;;;;;;
269;;;;;;;
140;;;;;;;
633;;;;;;;
11;;;;;;;
94;;;;;;;
19;;;;;;;
32;;;;;;;
29;;;;;;;
275;;;;;;;
67;;;;;;;
239;;;;;;;
55;;;;;;;
10;;;;;;;
37;;;;;;;
28;;;;;;;
11;;;;;;;
7;;;;;;;
17;;;;;;;
29;;;;;;;
32;;;;;;;
37;;;;;;;
21;;;;;;;
192;;;;;;;
72;;;;;;;
246;;;;;;;
106;;;;;;;
37;;;;;;;
37;;;;;;;
180;;;;;;;
33;;;;;;;
4;;;;;;;
58;;;;;;;
337;;;;;;;
25;;;;;;;
171;;;;;;;
127;;;;;;;
614;;;;;;;
68;;;;;;;
44;;;;;;;
64;;;;;;;
14;;;;;;;
91;;;;;;;
283;;;;;;;
57;;;;;;;
69;;;;;;;
24;;;;;;;
14;;;;;;;
293;;;;;;;
103;;;;;;;
28;;;;;;;
98;;;;;;;
23;;;;;;;
36;;;;;;;
6;;;;;;;
22;;;;;;;
44;;;;;;;
10;;;;;;;
16;;;;;;;
261;;;;;;;
32;;;;;;;
13;;;;;;;
72;;;;;;;
346;;;;;;;
23;;;;;;;
9;;;;;;;
81;;;;;;;
23;;;;;;;
19;;;;;;;
37;;;;;;;
31;;;;;;;
20;;;;;;;
86;;;;;;;
156;;;;;;;
118;;;;;;;
18;;;;;;;
65;;;;;;;
128;;;;;;;
8;;;;;;;
35;;;;;;;
17;;;;;;;
168;;;;;;;
15;;;;;;;
26;;;;;;;
31;;;;;;;
5;;;;;;;
186;;;;;;;
25;;;;;;;
277;;;;;;;
44;;;;;;;
289;;;;;;;
37;;;;;;;
479;;;;;;;
158;;;;;;;
35;;;;;;;
19;;;;;;;
295;;;;;;;
41;;;;;;;
44;;;;;;;
92;;;;;;;
141;;;;;;;
113;;;;;;;
10;;;;;;;
35;;;;;;;
48;;;;;;;
139;;;;;;;